date,"Precipitation (total, 30 min) [mm]","Absolute humidity (mean, 30 min) [gm-3]","Relative humidity (mean, 30 min) [%]","Air temperature (mean, 30 min) [Deg Celsius]","Atmospheric pressure (mean, 30 min) [hPa]","Wind direction (mean, 30 min) [Degrees]","Wind speed (mean, 30 min) [ms-1]",Snow distance corrected [mm],COSMOS sensor VWC [%],d86 75m (1 hour) [cm],Soil heat flux 1 [Wm-2],Soil heat flux 2 [Wm-2],Soil temperature profile (2 cm depth) [Deg Celsius],Soil temperature profile (5 cm depth) [Deg Celsius],Soil temperature profile (10 cm depth) [Deg Celsius],Soil temperature profile (20 cm depth) [Deg Celsius],Soil temperature profile (50 cm depth) [Deg Celsius],Soil temperature 1 [Deg Celsius],Soil temperature 2 [Deg Celsius],Soil moisture content (nominal depth 10cm) [%],Soil moisture content (nominal depth 10cm) [%],Potential evaporation (1 hour) [mm]
2021-01-01 0:00,0,4.373,96.9,-1.04,998.7705,246.3032,0.606,,38.8,18.13873,-14.52312,-17.08777,2.655,3.086,3.68,4.542,6.438,3.72,4.26,40.89,43.72,0.00481
2021-01-01 0:30,0,4.303,97,-1.288,998.9299,228.40644,0.441,,,,-13.96003,-15.74083,2.541,2.977,3.621,4.54,6.438,3.71,4.26,40.67,43.72,
2021-01-01 1:00,0,4.341,97.4,-1.219,998.9922,335.55605,0.245,,46.3,16.83357,-13.99831,-15.90662,2.657,3.071,3.674,4.537,6.439,3.71,4.25,40.99,43.78,0.0054
2021-01-01 1:30,0,4.609,98.2,-0.475,999.0699,247.49647,0.391,,,,-14.29051,-15.33478,2.652,3.066,3.667,4.532,6.435,3.71,4.24,40.63,43.78,
2021-01-01 2:00,0,5.126,99.3,0.909,999.31,233.95576,0.383,,41.1,17.69907,-14.28069,-16.34566,2.646,3.055,3.652,4.523,6.427,3.71,4.23,40.67,43.72,0.00617
2021-01-01 2:30,0,5.619,99.5,2.231,999.5933,247.99237,0.698,,,,-13.96242,-15.69108,2.668,3.059,3.648,4.522,6.427,3.7,4.21,40.78,43.78,
2021-01-01 3:00,0,5.577,98.5,2.269,999.8333,248.40469,0.929,,53.8,15.82725,-13.43465,-14.77555,2.697,3.063,3.64,4.507,6.416,3.7,4.21,40.57,43.78,0.00801
2021-01-01 3:30,0,5.699,98,2.664,999.9927,249.58572,0.94,,,,-12.92795,-14.10602,2.734,3.084,3.641,4.5,6.412,3.7,4.19,40.99,43.72,
2021-01-01 4:00,0,5.734,96.5,2.985,1000.028,244.70964,0.86,,44.1,17.18006,-12.55017,-13.71631,2.767,3.106,3.644,4.495,6.407,3.7,4.19,40.89,43.78,0.00889
2021-01-01 4:30,0,5.661,95.1,3.011,1000.013,256.82467,0.934,,,,-12.26157,-13.39138,2.797,3.128,3.652,4.491,6.404,3.7,4.19,40.89,43.67,
2021-01-01 5:00,0,5.678,94.5,3.151,1000.024,242.70433,1.05,,63.2,14.85053,-12.04895,-13.14708,2.819,3.143,3.655,4.481,6.394,3.71,4.19,40.89,43.72,0.00898
2021-01-01 5:30,0.06,5.703,93.7,3.344,1000.004,232.69605,0.744,,,,-11.82787,-12.82265,2.843,3.158,3.657,4.475,6.386,3.71,4.19,40.67,43.72,
2021-01-01 6:00,0,5.737,93.8,3.417,1000.066,246.16508,1.247,,45.2,17.00347,-11.55588,-12.70282,2.869,3.175,3.669,4.474,6.382,3.71,4.19,40.72,43.72,0.01007
2021-01-01 6:30,0,5.854,93.4,3.782,1000.254,238.46678,1.212,,,,-11.37914,-12.51567,2.892,3.194,3.677,4.471,6.378,3.72,4.19,40.72,43.78,
2021-01-01 7:00,0,5.781,92.3,3.772,1000.406,228.04976,1.088,,43.4,17.29611,-11.21642,-12.30264,2.92,3.214,3.686,4.468,6.374,3.73,4.19,40.67,43.72,0.01073
2021-01-01 7:30,0,5.791,91.3,3.961,1000.757,254.72419,1.285,,,,-11.06026,-12.10972,2.949,3.234,3.699,4.47,6.372,3.73,4.19,40.83,43.78,
2021-01-01 8:00,0,5.753,90.9,3.928,1000.824,265.12927,1.389,,57.8,15.37934,-10.82522,-11.88979,2.974,3.248,3.698,4.462,6.36,3.74,4.19,40.83,43.72,0.01261
2021-01-01 8:30,0.67,5.728,92.2,3.65,1001.032,230.99455,1.105,,,,-10.54848,-11.60315,3.014,3.27,3.71,4.465,6.355,3.76,4.19,40.67,43.72,
2021-01-01 9:00,0.2,5.745,93.8,3.437,1001.114,238.75168,1.085,,63.8,14.79644,-10.32459,-11.30339,3.057,3.296,3.72,4.462,6.347,3.74,4.19,41.43,43.72,0.01381
2021-01-01 9:30,0,5.704,93.3,3.41,1001.203,228.25722,1.159,,,,-10.11907,-11.13963,3.107,3.334,3.741,4.468,6.348,3.75,4.19,41.93,43.67,
2021-01-01 10:00,0.53,5.807,93,3.726,1001.795,242.99309,0.775,,,,-9.77916,-10.74982,3.158,3.368,3.757,4.472,6.344,3.76,4.2,41.93,43.72,0.022
2021-01-01 10:30,1.75,5.819,94.5,3.516,1002.286,260.32245,0.89,,,,-9.26015,-11.27569,3.197,3.39,3.765,4.464,6.332,3.72,4.2,44.35,44.24,
2021-01-01 11:00,0.61,6.001,95.6,3.805,1002.218,225.67298,1.171,,50.8,16.2008,-8.61747,-10.66764,3.254,3.414,3.771,4.454,6.324,3.72,4.21,45.99,44.93,0.04065
2021-01-01 11:30,0,6.173,95.1,4.307,1002.228,231.53404,1.044,,,,-6.18946,-8.9107,3.376,3.472,3.784,4.454,6.322,3.76,4.22,46.05,44.99,
2021-01-01 12:00,0,6.136,93.7,4.441,1002.284,240.14683,1.124,,51.9,16.05974,-3.5061,-7.4842,3.506,3.553,3.811,4.456,6.312,3.79,4.22,45.34,45.22,0.04457
2021-01-01 12:30,0,6.229,93.5,4.699,1002.164,225.71108,1.188,,,,-1.96092,-6.63983,3.61,3.642,3.857,4.465,6.309,3.84,4.24,46.64,45.4,
2021-01-01 13:00,0,6.334,91.7,5.246,1002.117,245.64852,1.14,,56.9,15.47556,-0.9193,-5.34347,3.732,3.729,3.905,4.475,6.306,3.89,4.26,45.58,45.34,0.06148
2021-01-01 13:30,0,6.22,89.1,5.406,1002.213,252.55597,1.28,,,,0.00205,-3.64148,3.888,3.83,3.958,4.489,6.302,3.94,4.29,45.46,45.4,
2021-01-01 14:00,0,6.129,91.2,4.832,1002.241,239.36458,1.186,,56.3,15.54113,0.74297,-3.0925,3.997,3.938,4.019,4.509,6.3,3.99,4.31,44.01,45.4,0.03989
2021-01-01 14:30,0,6.235,91.3,5.074,1002.385,250.45992,0.997,,,,0.35462,-2.97635,4.035,4.001,4.072,4.52,6.29,4.06,4.34,44.47,45.22,
2021-01-01 15:00,0,6.18,90.2,5.122,1002.611,247.52057,1.437,,44,17.19646,0.23778,-2.72209,4.065,4.045,4.117,4.536,6.28,4.09,4.37,44.59,45.28,0.02283
2021-01-01 15:30,0,6.149,90.2,5.048,1002.976,257.66091,1.34,,,,0.04653,-2.58133,4.098,4.092,4.168,4.563,6.281,4.14,4.41,44.47,45.22,
2021-01-01 16:00,0,6.104,91.1,4.787,1003.323,251.56505,1.268,,43.2,17.32981,-0.32041,-2.649,4.124,4.134,4.215,4.59,6.285,4.19,4.44,43.95,45.17,0.0091
2021-01-01 16:30,0,6.077,91.9,4.588,1003.567,266.12373,1.181,,,,-0.88423,-2.81056,4.127,4.155,4.246,4.612,6.277,4.22,4.46,44.24,45.17,
2021-01-01 17:00,0,6.005,91.6,4.457,1003.703,259.83052,1.197,,48,16.58332,-1.43745,-3.0093,4.127,4.166,4.269,4.626,6.266,4.26,4.49,42.99,45.11,0.00489
